keys,fr,en,fr_CH,ja_JP,it,fr_FR
magasin_menu_title,Magasin,Shop,Aip#f,冊丹呂丹己工几,il negozio,Acte premier
mouse_skins_menu_title,Souris,Mouse,azpojf,己回凵尺工己,il mouse per computer,SAMUEL BECKETT
ordinateur_skins_menu_title,Ordinateur,Computer,azfok,回尺句工几丹卞ヨ凵尺,il computer,LES ÉDITIONS DE MINUIT
table_skins_menu_title,Table,Desk,q^kfqfk,卞丹日しヨ,la scrivania,Entre Vladimir .
parametre_menu_title,Parametres,Settings,naiozfhsfh,尸丹尺丹冊ヨ卞尺ヨ己,,En attendant Godot
langue_setting_name,Langue : ,Langage :,ak^kfofazf,し丹几呂凵ヨ : ,,ÉDITION
reset_game_setting_name,Reinitialiser la progression,Reset the game,azfkgêkgezgz,尺ヨ工几工卞工丹し工己ヨ尺 し丹 尸尺回呂尺ヨ己己工回几,,Monsieur Godot m'a dit de vous dire qu'il ne viendra pas ce soir mais sûrement demain.
upgrade_mouse_desc,Une meilleure souris !,A better mouse !,fqofjqsjfvvq,亡し工甲凵ヨ ヨ卞 尺ヨ亡し工甲凵ヨ,un migliore mouse,"Route à la campagne, avec arbre."
upgrade_ventil_desc,Ameliorer la ventilation,Upgrade the fans,^koqdb)à,亡廾丹凵乍乍ヨ 冊回工几己,aggiornare la ventilazione,"Estragon, assis sur une pierre, essaie d'enlever sa chaussure. Il s'y acharne des deux mains, en ahanant. Il s'arrête, à bout de forces, se repose en haletant, recommence."
upgrade_autoclick_desc,Ameliorer le logiciel d'autoclick,Upgrade the autoclick software,qozjfvqoçv)qzoajfogqsdôq,亡し工甲凵ヨ己 卞回凵卞 己ヨ凵し,aggiornare il software di autoclick,VLADIMIR (froissé. froidement). - Peut-on savoir où monsieur a passé la nuit?
upgrade_antivirus_desc,Ameliorer l'antivirus,Upgrade the antivirus software,q)a)vkjkgoq^g^pqf,亡回冊日丹卞 しヨ己 レ工尺凵己,migliorare l'antivirus,ESTRAGON. - Dans un fossé.
update_antivirus_desc,Mettre a jour l'antivirus,Update the antivirus software,"ojgàdob,qpgp",冊ヨ卞 丹 勹回凵尺 し'丹几卞工レ工尺凵己,aggiornare l'antivirus,VLADIMIR. - Et on ne t'a pas battu?
upgrade_desk_desc,Acheter une nouvelle table,Buy a new desk,pokqosfj)jqfq,几回凵レヨししヨ 卞丹日しヨ,nuova tavola,ESTRAGON. - Si... Pas trop.
upgrade_under_tab_level_desc,"niv.%s, %sC","lvl.%s, %sC","faf.%s, %sz","几工レ.%s, %s亡","lvl.%s, %sC","Il a dit devant l'arbre. %s, %s feuilles"
upgrade_under_tab_max_level_desc,niv.%s : niveau max atteint !,lvl.%s : max level !,azs.%s,几工レ.%s,lvl.%s,Il a dit devant l'arbre. %s :  Tu as un message de monsieur Godot ?
upgrade_under_tab_no_level_desc,%sC,%sC,%sm,%s亡,,%s feuilles
upgrade_under_tab_antivirus_desc,"niv.%s, %sC : Neutralise %s%% des virus","lvl.%s, %sC : Kill %s%% of the viruses","sdf.%s, %sCdazffazf %sazfazffaz","几工レ.%s, %s亡 : 几ヨ凵卞尺丹し工己ヨ %s%% 句ヨ己 レ工尺凵己",,"Il a dit devant l'arbre. %s, %s feuilles : Mais ne restez pas debout comme ça, vous allez attraper %s la crève."
upgrade_under_tab_antivirus_max_level_desc,"niv.%s : Neutralise %s%% des virus, niveau max atteint !","lvl.%s : Kill %s%% of the viruses, max level !",afe.%sazfgzeg %s%% ezgsdgegzaegzegzegdsdge,"几工レ.%s : 几ヨ凵卞尺丹し工己ヨ %s%% 句ヨ己 レ工尺凵己, 几工レヨ丹凵 冊丹メ !",,"Il a dit devant l'arbre. %s : Mais ne restez pas debout comme ça, vous allez attraper %s la crève. Tu as un message de monsieur Godot ?"
base_mouse_desc,La basique,The basic one,oajkzfpjsfvq,日丹己工甲凵ヨ,,
triangle_mouse_desc,La triangle,The triangle one,azegopjdpog,卞尺工丹几呂凵し丹工尺ヨ,,
blanche_mouse_desc,La blanche,The white one,qapojoigjz,日し丹几亡廾ヨ,,
mieux_mouse_desc,L'ergonomique,The ergonomic one,"aoZzGgjsd,bvg",尸し凵卞回卞 冊工ヨ凵メ,,
amongus_mouse_desc,L'Among Us,The Among us one,azgpkgkzeg,丹冊回几呂 凵己,,
coccinelle_mouse_desc,La coccinelle,The ladybug one,kzegsgdgkg,亡回亡亡工几ヨししヨ,,
gold_mouse_desc,La dorée,The golden one,aegpke^bgjeô,すべての,,
gamerblue_mouse_desc,La gamer bleue,the gamer blue,jpozjeogjds,すべての,,
gamercyan_mouse_desc,La gamer cyan,the gamer cyan,ojkezjgosdjg,すべての,,
gamergreen_mouse_desc,La gamer verte,the gamer green,p^ksdgozeag,すべての,,
gamerorange_mouse_desc,La gamer orange,thhe gamer orange,keg^pkseg^kseg,すべての,,
gamerpink_mouse_desc,La gamer rose,the game pink,"lgpkzego,kg",すべての,,
gamerred_mouse_desc,La gamer Rouge,the gamer red,aggzegseg,すべての,,
gamerviolet_mouse_desc,La gamer violette,the gamer purple,sdgsdgze,すべての,,
gamerwhite_mouse_desc,La gamer blanche,the gamer white,fgsdgshr,すべての,,
gameryell_mouse_desc,La gamer jaune,the gamer yellow,hrgrhsd,すべての,,
base_computer_desc,La boite,The box,ozejgojdgos,すべての,,
pink_computer_desc,Le PC rose,the pink computer,gegezgh,すべての,,
minitel_computer_desc,Le minitel,The Minitel,sdhsghes,すべての,,
table_bois_desc,En bois de chene,The wood desk,zoejghpozjebhojs,すべての,,
table_camouflage_desc,La camouflage,The camouflage,egsdghsh,すべての,,
table_space_desc,L'espace,The space,zrghzegsg,すべての,,
backup_restore_after_ordi_burn_message,"Tu as retrouve une backup de ta partie, tu vas pouvoir continuer","You retrieved a backup of your game, so you can continue playing",ojzepgbjksdàgkp^zkgôjodsjbhsdkbhpkroh^njoz^sj,"廾ヨ凵尺ヨ凵己ヨ冊ヨ几卞 甲凵ヨ 卞凵 丹己 凵几ヨ 日丹亡片凵尸 句工己尸回几工日しヨ, 卞凵 レ丹 尸回凵レ回工尺 亡回几卞工几凵ヨ尺",,
paye_rancon_au_rnasomware_message,Tu as paye ta rancon de %sC au ransomware,You paid %sC to the ransomware,bhsôjzogz%s^jkgôkd=àskgpzkgpkhekrh,卞凵 丹 句凵 尸丹とヨ 卞丹 尺丹几亡回几 句ヨ %s 丹凵 尺丹几己回冊山丹尺ヨ,,
pirate_vol_souris_message,"Des pirates t'ont volé ta souris. Heureusement tu la recupere, mais tu as perdu %s niveaux de souris","Some pirates stole your mouse. Hopefully you got it back, but you lose %s mouse levels",gegezgh %s afaegezgzegzegzeg,"句ヨ己 尸工尺丹卞ヨ己 卞'回几卞 レ回しヨ 卞丹 己回凵尺工己, 卞凵 尸ヨ尺句己 %s 几工レヨ丹凵メ",,
